Genus	Num_Genomes	Mean	STDEV 	Threshold
g__Escherichia	934	0.8486	0.0688	0.7110
g__Salmonella	707	0.9482	0.0502	0.8478
g__Burkholderia	619	0.8926	0.1181	0.6564
g__Bordetella	618	0.4988	0.1394	0.2200
g__Bacillus	603	0.9422	0.0545	0.8332
g__Staphylococcus	513	0.9291	0.0697	0.7897
g__Pseudomonas	489	0.8167	0.1148	0.5871
g__Klebsiella	479	0.9567	0.0430	0.8707
g__Streptococcus	461	0.9373	0.0557	0.8259
g__Vibrio	386	0.9526	0.0686	0.8154
g__Lactobacillus	377	0.9499	0.0748	0.8003
g__Mycobacterium	260	0.7460	0.1751	0.3959
g__Acinetobacter	252	0.9445	0.0759	0.7928
g__Campylobacter	248	0.7425	0.0968	0.5489
g__Corynebacterium	224	0.7890	0.2085	0.3720
g__Brucella	217	0.8296	0.0820	0.6656
g__Xanthomonas	208	0.7480	0.0747	0.5985
g__Helicobacter	201	0.6012	0.0923	0.4165
g__Listeria	184	0.9317	0.0880	0.7557
g__Mycoplasma	182	0.5485	0.1530	0.2425
g__Streptomyces	181	0.3352	0.1447	0.046
g__Chlamydia	152	0.9907	0.0178	0.955
g__Neisseria	150	0.8348	0.0907	0.653
g__Enterococcus	144	0.9388	0.0834	0.772
g__Clostridium	128	0.9557	0.0441	0.868
g__Enterobacter	125	0.8843	0.0576	0.769
g__Bifidobacterium	121	0.4869	0.2344	0.018
g__Yersinia	99	0.7713	0.1785	0.414
g__Shigella	95	0.6378	0.1223	0.393
g__Legionella	94	0.9263	0.0422	0.842
g__Mannheimia	88	0.7636	0.0729	0.618
g__Rickettsia	86	0.7527	0.0844	0.584
g__Francisella	83	0.8577	0.1129	0.632
g__Serratia	80	0.9635	0.0877	0.788
g__Haemophilus	78	0.5947	0.1561	0.282
g__Paenibacillus	76	0.9477	0.0498	0.848
g__Pseudoalteromonas	75	0.6016	0.4096	-0.218
g__Rhizobium	70	0.5395	0.1540	0.232
g__Ralstonia	64	0.7888	0.0897	0.609
g__Citrobacter	64	0.9275	0.0607	0.806
g__Aeromonas	61	0.9276	0.0456	0.836
g__Paraburkholderia	58	0.8721	0.0794	0.713
g__Pasteurella	54	0.8443	0.1332	0.578
g__Agrobacterium	52	0.7821	0.1495	0.483
g__Clostridioides	49	0.9716	0.0144	0.943
g__Shewanella	45	0.9507	0.0933	0.764
g__Prevotella	44	0.5701	0.1749	0.220
g__Rhodococcus	44	0.6744	0.2885	0.097
g__Lactococcus	43	0.9573	0.0325	0.892
g__Chryseobacterium	42	0.7163	0.0996	0.517
g__Flavobacterium	40	0.6485	0.1392	0.370
g__Mycobacteroides	40	0.9373	0.0249	0.887
g__Phaeobacter	39	0.8439	0.0482	0.748
g__Azospirillum	38	0.6174	0.1495	0.319
g__Fusobacterium	38	0.5783	0.1363	0.306
g__Borrelia	38	1.0044	0.0127	0.979
g__Leuconostoc	37	0.9229	0.0983	0.726
g__Sinorhizobium	36	0.6932	0.1266	0.440
g__Cupriavidus	35	0.7992	0.0859	0.627
g__Alteromonas	33	0.8355	0.1070	0.621
g__Leptospira	32	0.8833	0.1238	0.636
g__Stenotrophomonas	31	0.7719	0.1439	0.484
g__Bradyrhizobium	31	0.6035	0.1086	0.386
g__Bacteroides	31	0.8275	0.0796	0.668
