COG0001	H	Glutamate-1-semialdehyde aminotransferase	HemL	Heme biosynthesis		2CFB
COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	ArgC	Arginine biosynthesis		3DR3
COG0003	P	Anion-transporting ATPase, ArsA/GET3 family	ArsA			1F48
COG0004	P	Ammonia channel protein AmtB	AmtB			1U77
COG0005	F	Purine nucleoside phosphorylase	XapA	Purine salvage		1YQQ
COG0006	E	Xaa-Pro aminopeptidase	PepP			1A16
COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis		1PJQ
COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	GlnS	Heme biosynthesis		1EUQ
COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	TsaC	tRNA modification		1HRU
COG0010	E	Arginase/agmatinase family enzyme	SpeB	Urea cycle		1CEV
COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family	YqgV		20471400	1LXJ
COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family	GTP1		21527254	2DWQ
COG0013	J	Alanyl-tRNA synthetase	AlaS	Aminoacyl-tRNA synthetases		2ZZE
COG0014	E	Gamma-glutamyl phosphate reductase	ProA	Proline biosynthesis		4GHK
COG0015	F	Adenylosuccinate lyase	PurB	Purine biosynthesis		2HVG
COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	PheS	Aminoacyl-tRNA synthetases		3L4G
COG0017	J	Aspartyl/asparaginyl-tRNA synthetase	AsnS	Aminoacyl-tRNA synthetases		3KFU
COG0018	J	Arginyl-tRNA synthetase	ArgS	Aminoacyl-tRNA synthetases		1BS2
COG0019	E	Diaminopimelate decarboxylase	LysA	Lysine biosynthesis		1D7K
COG0020	I	Undecaprenyl pyrophosphate synthase	UppS			1X07
COG0021	G	Transketolase	TktA	Pentose phosphate pathway		1AY0
COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	AcoB	Pyruvate oxidation		2OZL
COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	SUI1	Translation factors		1D1R
COG0024	J	Methionine aminopeptidase	Map			3J2I
COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	NhaP			4CZB
COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	PurK	Purine biosynthesis		1B6R
COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	PurT	Purine biosynthesis		1KJ8
COG0028	EH	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	IlvB	Isoleucine, leucine, valine biosynthesis		1BFD
COG0029	H	Aspartate oxidase	NadB	NAD biosynthesis		1KNP
COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	RsmA	16S rRNA modification		1QYR
