Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NC_022124.1 Prevotella sp. oral taxon 299 str. F0039, complete genome"	0	k__Bacteria	2	p__Bacteroidetes	976	c__Bacteroidia	200643	o__Bacteroidales	171549	f__Prevotellaceae	171552	g__Prevotella	838	s__Prevotella_sp._oral_taxon_299	652716
"NC_008789.1 Halorhodospira halophila SL1, complete genome"	0.029867998	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Chromatiales	135613	f__Ectothiorhodospiraceae	72276	g__Halorhodospira	85108	s__Halorhodospira_halophila	1053
"NZ_CP013612.1 Pseudoalteromonas rubra strain SCSIO 6842 chromosome 2, complete sequence"	0.030510525	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_rubra	43658
"NZ_AP018172.1 Calothrix sp. NIES-2098 DNA, complete genome"	0.0346578	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._NIES-2098	1954171
"NZ_CP007535.2 Acinetobacter baumannii strain AC29, complete genome"	0.27001429	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP013188.1 Pseudoalteromonas phenolica strain KCTC 12086 chromosome II, complete sequence"	0.039082614	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_phenolica	161398
"NZ_CP031962.1 Pseudoalteromonas tunicata strain D2 chromosome 2, complete sequence"	0.040717276	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_tunicata	314281
"NZ_CP033066.1 Pseudoalteromonas agarivorans strain Hao 2018 chromosome II, complete sequence"	0.04850131	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_agarivorans	176102
"NZ_CP027524.1 Pseudoalteromonas carrageenovora strain KCTC 22325 chromosome II, complete sequence"	0.048753317	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_carrageenovora	227
"NC_019697.1 Chamaesiphon minutus PCC 6605, complete genome"	0.054104847	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Chamaesiphonaceae	1890431	g__Chamaesiphon	217161	s__Chamaesiphon_minutus	1173032
"NC_019682.1 Calothrix sp. PCC 7507, complete genome"	0.056953973	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._PCC_7507	99598
"NZ_CP017717.1 Nonomuraea sp. ATCC 55076 chromosome, complete genome"	0.059781952	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptosporangiales	85012	f__Streptosporangiaceae	2004	g__Nonomuraea	83681	s__Nonomuraea_sp._ATCC_55076	1909395
