Sequence	Index	GC Skew (1kb)
chr01	0	-0.18967742
chr01	1000	-0.15775401
chr01	2000	-0.19892473
chr01	3000	-0.02251656
chr01	4000	-0.03513514
chr01	5000	-0.00683995
chr01	6000	0.06024096
chr01	7000	0.07121662
chr01	8000	0.06569343
chr01	9000	0.00000000
chr01	10000	0.08154506
chr01	11000	0.14492754
chr01	12000	0.08959538
chr01	13000	0.00589971
chr01	14000	0.02164502
chr01	15000	0.03207810
chr01	16000	0.01408451
chr01	17000	0.01018923
chr01	18000	0.05747126
chr01	19000	-0.04871060
chr01	20000	-0.01298701
chr01	21000	-0.09039548
chr01	22000	-0.11587983
chr01	23000	-0.17997294
chr01	24000	-0.13692946
chr01	25000	0.09659091
chr01	26000	0.07331378
chr01	27000	0.11275964
chr01	28000	0.02601156
chr01	29000	0.07082153
chr01	30000	-0.06721536
chr01	31000	0.00000000
chr01	32000	0.02857143
chr01	33000	0.01217862
chr01	34000	0.05307263
chr01	35000	-0.06588580
chr01	36000	-0.04941860
chr01	37000	-0.00749625
chr01	38000	0.00711238
chr01	39000	0.04696133
chr01	40000	0.03921569
chr01	41000	0.06060606
chr01	42000	-0.09065156
chr01	43000	-0.10662824
chr01	44000	-0.01699717
chr01	45000	-0.15731874
chr01	46000	-0.05614973
chr01	47000	-0.04261364
chr01	48000	0.04829545
chr01	49000	-0.02127660
chr01	50000	0.04097117
chr01	51000	0.00291545
chr01	52000	0.11613876
chr01	53000	0.04538341
chr01	54000	0.06983655
chr01	55000	0.02209131
chr01	56000	-0.11209440
chr01	57000	0.00595238
chr01	58000	-0.01068702
chr01	59000	0.06277372
chr01	60000	0.08011869
chr01	61000	0.07605634
chr01	62000	0.05710102
chr01	63000	0.01173021
chr01	64000	-0.08625337
chr01	65000	0.07737226
chr01	66000	0.01052632
chr01	67000	-0.02976190
chr01	68000	-0.06528190
chr01	69000	-0.04221252
chr01	70000	0.06703911
chr01	71000	0.06841339
chr01	72000	0.04675716
chr01	73000	0.04932735
chr01	74000	0.05084746
chr01	75000	0.03918723
chr01	76000	-0.10099573
chr01	77000	0.01186944
chr01	78000	-0.03216374
chr01	79000	-0.04297994
chr01	80000	-0.06364922
chr01	81000	-0.05970149
chr01	82000	-0.02652106
chr01	83000	0.07012195
chr01	84000	0.01925926
chr01	85000	0.02481752
chr01	86000	0.05113636
chr01	87000	-0.01310044
chr01	88000	-0.01392758
chr01	89000	0.06719368
chr01	90000	0.03776224
chr01	91000	0.09451220
chr01	92000	-0.05882353
chr01	93000	-0.04857143
chr01	94000	-0.02631579
chr01	95000	0.10533516
chr01	96000	0.02970297
chr01	97000	0.10632184
chr01	98000	0.06515581
chr01	99000	-0.08077994
chr01	100000	-0.01461988
chr01	101000	0.03896104
chr01	102000	-0.01102362
chr01	103000	0.01345291
chr01	104000	0.03873745
chr01	105000	-0.01971831
chr01	106000	0.09497207
chr01	107000	0.10422535
chr01	108000	0.10084034
chr01	109000	0.09117221
chr01	110000	-0.04845815
chr01	111000	0.04571429
chr01	112000	-0.04945055
chr01	113000	-0.14206128
chr01	114000	-0.09116809
chr01	115000	-0.09712722
chr01	116000	-0.10526316
chr01	117000	-0.12841530
chr01	118000	-0.05021521
chr01	119000	0.08611111
chr01	120000	0.04607046
chr01	121000	-0.02506964
chr01	122000	0.04432133
chr01	123000	0.06586826
chr01	124000	0.06575342
chr01	125000	-0.08241758
chr01	126000	0.03776224
chr01	127000	0.09667674
chr01	128000	-0.11746988
chr01	129000	-0.05614568
chr01	130000	-0.11964549
chr01	131000	-0.04565538
chr01	132000	-0.01865136
chr01	133000	0.10086455
chr01	134000	0.05295008
chr01	135000	-0.07058824
chr01	136000	-0.04947526
chr01	137000	0.04113475
chr01	138000	-0.07204611
chr01	139000	0.01183432
chr01	140000	-0.00998573
chr01	141000	-0.14165498
chr01	142000	0.00448430
chr01	143000	0.08228731
chr01	144000	-0.00602410
chr01	145000	-0.10584958
